Date,AAPL,BA,BAC,CAT,COP,CSCO,CVX,GE,GS,INTC,JPM,KO,MMM,MSFT,PEP,PG,SLB,WFC,WMT,XOM
2006-01-04,,,,,,,,,,,,,,,,,,,,
2006-01-05,,,,,,,,,,,,,,,,,,,,
2006-01-06,,,,,,,,,,,,,,,,,,,,
2006-01-09,,,,,,,,,,,,,,,,,,,,
2006-01-10,,,,,,,,,,,,,,,,,,,,
2006-01-11,,,,,,,,,,,,,,,,,,,,
2006-01-12,,,,,,,,,,,,,,,,,,,,
2006-01-13,,,,,,,,,,,,,,,,,,,,
2006-01-17,,,,,,,,,,,,,,,,,,,,
2006-01-18,,,,,,,,,,,,,,,,,,,,
2006-01-19,,,,,,,,,,,,,,,,,,,,
2006-01-20,,,,,,,,,,,,,,,,,,,,
2006-01-23,,,,,,,,,,,,,,,,,,,,
2006-01-24,,,,,,,,,,,,,,,,,,,,
2006-01-25,,,,,,,,,,,,,,,,,,,,
2006-01-26,,,,,,,,,,,,,,,,,,,,
2006-01-27,,,,,,,,,,,,,,,,,,,,
2006-01-30,,,,,,,,,,,,,,,,,,,,
2006-01-31,,,,,,,,,,,,,,,,,,,,
2006-02-01,,,,,,,,,,,,,,,,,,,,
2006-02-02,,,,,,,,,,,,,,,,,,,,
2006-02-03,,,,,,,,,,,,,,,,,,,,
2006-02-06,,,,,,,,,,,,,,,,,,,,
2006-02-07,,,,,,,,,,,,,,,,,,,,
2006-02-08,,,,,,,,,,,,,,,,,,,,
2006-02-09,,,,,,,,,,,,,,,,,,,,
2006-02-10,,,,,,,,,,,,,,,,,,,,
2006-02-13,,,,,,,,,,,,,,,,,,,,
2006-02-14,,,,,,,,,,,,,,,,,,,,
2006-02-15,,,,,,,,,,,,,,,,,,,,
2006-02-16,,,,,,,,,,,,,,,,,,,,
2006-02-17,,,,,,,,,,,,,,,,,,,,
2006-02-21,,,,,,,,,,,,,,,,,,,,
2006-02-22,,,,,,,,,,,,,,,,,,,,
2006-02-23,,,,,,,,,,,,,,,,,,,,
2006-02-24,,,,,,,,,,,,,,,,,,,,
2006-02-27,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,
2006-03-01,,,,,,,,,,,,,,,,,,,,
2006-03-02,,,,,,,,,,,,,,,,,,,,
2006-03-03,,,,,,,,,,,,,,,,,,,,
2006-03-06,,,,,,,,,,,,,,,,,,,,
2006-03-07,,,,,,,,,,,,,,,,,,,,
2006-03-08,,,,,,,,,,,,,,,,,,,,
2006-03-09,,,,,,,,,,,,,,,,,,,,
2006-03-10,,,,,,,,,,,,,,,,,,,,
2006-03-13,,,,,,,,,,,,,,,,,,,,
2006-03-14,,,,,,,,,,,,,,,,,,,,
2006-03-15,,,,,,,,,,,,,,,,,,,,
2006-03-16,,,,,,,,,,,,,,,,,,,,
2006-03-17,,,,,,,,,,,,,,,,,,,,
2006-03-20,,,,,,,,,,,,,,,,,,,,
2006-03-21,,,,,,,,,,,,,,,,,,,,
2006-03-22,,,,,,,,,,,,,,,,,,,,
2006-03-23,,,,,,,,,,,,,,,,,,,,
2006-03-24,,,,,,,,,,,,,,,,,,,,
2006-03-27,,,,,,,,,,,,,,,,,,,,
2006-03-28,,,,,,,,,,,,,,,,,,,,
2006-03-29,,,,,,,,,,,,,,,,,,,,
2006-03-30,-0.0025452377262076497,0.001927054188009869,-0.0003221458424598589,0.003939398997748171,0.0012924368124400806,0.003975872097924539,4.3771316365170956e-05,-0.00017849662852874592,0.0033938992175967667,-0.004085159286993247,0.0007285552874635726,0.0006338932509777406,-0.00041095523414241277,0.00034710724158550923,-0.00037560220402372093,-0.00021154955649256105,0.0038883924891342033,0.0002523017245696609,0.0006128939060855303,0.0008824772650712853
2006-03-31,-0.0026022660619739696,0.0016501962867790025,-0.00017073186057647478,0.0033796970620554295,0.0010891371281202692,0.003366239896211163,-6.208737529486326e-05,-9.241323244516357e-05,0.0036400513338233262,-0.004509818784285983,0.0008689000996059441,0.0005675736067065525,-0.0005074659521203173,0.00025414240972559027,-0.0004590164274346609,-0.00024274028220220106,0.0034501119404917848,0.00037803916007114746,0.00043357148861044583,0.0007830752463884002
2006-04-03,-0.0024897025181133624,0.0018640131142203364,-0.0001409498706541427,0.003771928757733676,0.0015522387125757062,0.0028378654604434748,0.0002479938181555249,-9.306645058023329e-05,0.003769778947509352,-0.0048356037329453615,0.0009344902489107539,0.0004859171331433746,-0.00032197888649765176,0.00045616471657251395,-0.0003440423013255774,-0.00011666450421344658,0.00363215887144341,0.0005165910865050305,0.0004944324562107656,0.0009121574411118938
2006-04-04,-0.0033136428339360425,0.002222315832393183,0.00010662968362890602,0.0038482894088778677,0.0013629525013116484,0.0024332267156256175,0.00010722202080013695,-0.00020180672285797786,0.0038371958133650037,-0.004904052451359969,0.0010895673604158292,0.00041105609912915343,-0.0002038294301740721,0.0005539389950932394,-0.000417322943286517,-6.507344401409653e-05,0.003539580922816417,0.0005585813146181654,0.0003289134961369733,0.0007799055099868335
2006-04-05,-0.0016133488150106641,0.002469849249612984,0.00018949690606977302,0.0036556889047564285,0.001726404441502244,0.0022762197482965782,0.00035854161124503715,-0.0002940098357106458,0.003610815036501858,-0.004849970067819881,0.0009253229307172502,0.00027906330344729666,-0.00018693007823129362,0.0006452093197942802,-0.0003103568512609104,-0.00029933522226937014,0.004075357837123887,0.0006280169214647579,0.0005232826708613007,0.0008989890531884795
2006-04-06,-0.0016681219889944402,0.0025394456066896607,0.00020367795930730423,0.0036904010207849834,0.0019320233931860201,0.0019630351908378734,0.0002513428383001818,-0.0001609286958494512,0.0035349342712560367,-0.004715147906928677,0.0008028027323200367,0.00015975380747341913,0.0007598668058325079,0.00045019517401868235,-0.0002167256524413704,-0.00026915241732750246,0.0038428481928119225,0.0005925542609773423,0.00035835472007210526,0.0007511603060415946
2006-04-07,-0.0026339507410282664,0.002246048799001604,7.74075496865645e-05,0.00352141504207427,0.001609582138349334,0.0012940822163996853,-0.00013067761751007952,-0.0005064038624470487,0.0034375854057484613,-0.004848305434362521,0.0005825561622609351,1.5826839304875864e-05,0.0007221449675886782,8.371134822924657e-05,-0.00021223390269777635,-0.0003923907613745022,0.003382640480811041,0.0003593754076860578,-9.298969770927442e-05,0.0004329810931635814
2006-04-10,-0.0029788932872366653,0.00259907681231031,0.00016399360270822895,0.0034001674254264757,0.0017965675297958931,0.0016100648438482099,0.0001594604736007236,-0.0003580027144610161,0.0035512875893367692,-0.004635972547017901,0.0009616052263722863,0.00016020159969096966,0.0008543456714875386,0.00019978152919341574,-0.0001229554220406696,-0.000246789964741038,0.0037034535228409383,0.0005635588132070398,8.817434425189378e-05,0.000772972963085633
2006-04-11,-0.0034009794558320853,0.0026038961867204244,0.00012021109490669886,0.003635302755215136,0.0019642169841198303,0.0018848881836137606,-4.389134783523429e-05,-0.0003417448827590597,0.0030844250358783945,-0.004692624864862843,0.0008666807297823302,0.0001361600691953513,0.0008581512870556436,7.13692539738057e-05,-0.0001636382301518154,-0.0005790904754066832,0.002902570599904723,0.00046039785407380184,0.0001391272953221408,0.00041744146551349245
2006-04-12,-0.0035433931174772356,0.00333951710741693,0.00035705009429248444,0.0037233860458885677,0.0009885089382040912,0.0020883789615326388,-0.0006795084937060565,-6.508824142081685e-05,0.003206971711475539,-0.004552927301820355,0.00107051489918036,0.00019261420374081146,0.0010102756449383503,0.0002369604053930959,-6.678890508334257e-05,-0.000528992212099431,0.0024498850971512148,0.0006342604346263511,0.00045083817559176304,0.00011646342240703341
2006-04-13,-0.003166563845637266,0.0033707753517983738,0.0003790885000358235,0.0037539300635696955,0.0011696073729496306,0.0021706274295184586,-0.0003896114158034369,-0.0002835329328418512,0.003225220676348628,-0.0023582733378096706,0.001366337874120375,0.0003224550797852647,0.0009640924857430122,0.00025610842428333374,-5.827027658463583e-05,-0.0005614884532335403,0.002448007244407689,0.0004353229820881451,0.00031836333608103453,0.0003764897245500128
2006-04-17,-0.00288573329165923,0.00329324911674439,0.0003321717302332827,0.003475383684584297,0.0012547325183785707,0.0016607684267277323,-0.00042806756402614666,-0.0005115882664841882,0.003305044610335939,-0.0024335753912562135,0.0013846402136237946,0.00018868884468240717,0.000876251799303368,-3.533492025322345e-06,-0.000179380032574387,-0.0006838915727606198,0.0017158865126161217,0.0006457702988853786,0.00010784884852875209,0.00028393520866054807
2006-04-18,-0.001901101183082978,0.0038938156927241876,0.0008588315094650152,0.004472952969679959,0.0017039778458804204,0.002595042620666736,0.00013729336527440832,0.00040834783131390995,0.0039423621202083255,-0.0017836840282762002,0.002053689024507982,0.0006363276428562936,0.001514333842465839,0.0006087004635643915,0.0003210258576513173,-0.0004543578898073775,0.0011456476993732035,0.0010963810332655219,0.0006099489435537027,0.0009470121163929387
2006-04-19,-0.0023906326354054025,0.004095619470014254,0.0009782054932774287,0.004414325344632197,0.0016699693706816287,0.0027471731100952947,-0.00012160642891045163,0.0004581509958752098,0.003912051336437714,-0.0013235195023353,0.0019651440246049867,0.0006232555332066458,0.0014716794929654276,0.0005302384169652249,0.0002570228143609743,-0.00033107991930398,0.0014796175819514516,0.0009820394831589992,0.0005424928425129724,0.0009618889175163884
2006-04-20,-0.0015381911013117682,0.004042390226885378,0.0009552918494309319,0.004170896166784856,0.0015637542507554428,0.002410847646057109,-0.0003464627552858738,0.0007364744200678137,0.004045382827856242,-0.0013626039865974383,0.0020270051708534687,0.0005066134893397504,0.0019484940760731984,0.0005745108716848875,-0.00012334461329529717,-0.00034109515511506573,0.0018771287350123973,0.0010646947698098078,0.0003442804595078915,0.0009287512351345155
2006-04-21,-0.001280305247059079,0.00441427175624476,0.0010208474944707077,0.00395391458931094,0.002436553042816266,0.0019152377402487579,0.0002683176063493479,0.0007643371360941786,0.003746316593198978,-0.0016419805632678938,0.0018260700349619278,0.0004247703093460416,0.0027144041962632,0.0005723905965197507,-3.756174124778244e-05,-0.0004902176467868299,0.0023745856482684955,0.0009537467642279732,4.481286102117251e-05,0.0014154054389355242
2006-04-24,-0.0011809790519727247,0.0038940195143794248,0.0009911357566402305,0.003016637519387494,0.0017043976938909632,0.0015919519720370737,0.0004184295358762598,0.00061244561827782,0.003212887277186318,-0.001993165618867482,0.0014158977901916855,0.00017154278212071125,0.0028612721936729516,0.0004847012567284129,5.223347309171918e-05,-0.000513064855805373,0.0019108942324674138,0.0008184599583704136,-0.00018392768578851527,0.0013360963512017562
2006-04-25,-0.001005386450578096,0.0037411859043897915,0.0010353350485259336,0.0018854003611481762,0.0010437036658655975,0.0015603975852209314,0.00021564835828773998,0.0006674267170848847,0.0027690476836329508,-0.0019212384054271817,0.0011689058475091976,-0.00010956476810149995,0.0027459682180152305,-0.0003266223711003361,-0.00011312707888136986,-0.0005764514797501082,0.001524159223763431,0.000781265366342615,2.1720075091448873e-05,0.000844529663572093
2006-04-26,-0.0011938833720564349,0.003587779362565058,0.0013738246615072707,0.0022406142071316453,0.0007315620024187526,0.0016744597121415164,6.110290981009384e-05,0.0007560444655012581,0.0027189089259825163,-0.0016099373886426756,0.0013006650945428264,0.0001269403580175965,0.0028854918214637594,-0.00045870202454775246,0.0001515934369707909,-0.00019369775332984674,0.0010513227395601954,0.0009730022107729312,-5.768480034760714e-05,0.00012808926974265759
2006-04-27,-0.001011306520861005,0.0036026171777635897,0.001932111627364667,0.0018239529184367017,0.0006337756817650771,0.0021578053321300843,0.00037053389439354136,0.0009936303386353096,0.0026126281334780768,-0.0008051768867812299,0.001846476204701512,0.0004064652286109749,0.0028060366928182256,-0.00045574670600255404,0.0003479768629984744,-0.00011275286007899066,0.0012602337097612991,0.0014012273300165875,-7.319398678832616e-05,4.355137643474912e-05
2006-04-28,-0.0007439371758680332,0.0026662106508686927,0.002336691584158013,0.0016460207978392224,0.0008846712463909279,0.0021249948876256716,0.0008503723310942124,0.0008726146473789183,0.0021842925872027036,-0.0011155306350099112,0.0023342509449599405,0.0003224692981993534,0.0027443421677940043,-0.0022866431789589636,0.0003676500625623746,-0.00032731064442436303,0.0021566381924268425,0.0017783883356702632,-0.000306793056819038,0.00043226130752418063
2006-05-01,-0.00019731852145230913,0.002729467151809715,0.0022830351645036734,0.0018264249289839274,0.0011373393168155924,0.002321314857112709,0.0009452882523036443,0.0008969530226723384,0.001689743058098797,-0.0012535786299491406,0.002067909652774319,0.00043487495242739425,0.0028914311918608548,-0.0019760365095459567,0.000295240345433682,-0.0003744391828358377,0.0027886125869915697,0.0017564962049365787,-2.4252372702014227e-05,0.000522096662395229
2006-05-02,0.00034418097323229795,0.0032145671268026645,0.0025122055890332024,0.0022974747351035218,0.0019456632713329184,0.0028628521312699883,0.00167710811276075,0.0009658936832951604,0.0019175685775714916,-0.0008837058961087662,0.0025276098590567802,0.0006835788317352691,0.0030417987053758476,-0.002083870415964469,0.0002641130649069179,-0.00031658756942719025,0.003269067732379673,0.001800225731750212,0.00034371061789844985,0.0010012541199998079
2006-05-03,0.0012879254302750238,0.0032565418322303696,0.00234999983467211,0.0022913975713057494,0.0014715821727151505,0.003234615471547538,0.0010498593204282703,0.0009779649022819672,0.0019418020408025409,-0.001061434849169814,0.0025509012802663713,0.0005328611508655471,0.003301513561510629,-0.002443035550727827,0.000573608319270937,-0.0008893823519541322,0.002790989277036578,0.0017925452791430615,0.0006852787777801979,0.0006118511580822957
2006-05-04,0.0012112912733055073,0.003309929360969527,0.002520235243152737,0.0028165151486613748,0.001943418856292134,0.0032785266081683936,0.001388354659093934,0.0013956803825307248,0.0022153330636613122,-0.0009533747596597604,0.002711289065237123,0.0005598289633653552,0.0035338880026550834,-0.002107730289917218,0.0006298585665492259,-0.0008650953704420761,0.0035057596535237917,0.001976092921460441,0.0007074779456401133,0.0008735291602247415
2006-05-05,0.0010910445834897457,0.003542666938808401,0.002628140139132549,0.0026544783744470502,0.001990810100685192,0.0019877365870766867,0.0014391477174744945,0.0013462789811517274,0.0026866434655784107,-0.0008068802479069529,0.0029171493634300733,0.0007281052906346231,0.0036112905909615727,-0.0018332127101339005,0.0006315914950391318,-0.0009460146201945167,0.003238496786009313,0.0020902368592490323,0.0007669163220145899,0.0010109051640518766
2006-05-08,0.002025980787618,0.0033188159970404326,0.002448182345147554,0.002725004461177364,0.0022699043353277123,0.001866535403997523,0.001633287394919397,0.0011788003365860204,0.0026336928816367584,-0.000560410101460862,0.002649095866257208,0.001078633083961191,0.0035068443746201585,-0.001727389229347696,0.00042763507845061113,-0.00080563831037469,0.0035599236002464897,0.0020012566711520648,0.0007696598066385359,0.0010650878955279811
