,volatility,mean_return,avg_correlation,cluster
AAPL,0.016518292633779,0.0004164382716133,0.5903859818776248,3
BA,0.0175268727337279,-0.0006758885732784,0.5755961701911689,3
BAC,0.0142603878547332,0.0002817126937048,0.7008508308506523,1
CAT,0.0141116378935562,-0.0001599614396673,0.7738122704709179,1
COP,0.0156673823019164,-0.0009841158480332,0.4390731601567257,3
CSCO,0.0160587498426301,-4.089645373652936e-05,0.6486409141168437,1
CVX,0.0128759794697304,0.0003191682087116,0.3822381116504236,2
GE,0.0199232753029269,0.0008575684587563,0.4892777355942459,3
GS,0.0144270158637435,0.0004849908080686,0.7098406218499672,1
INTC,0.0198170129253433,-0.0021566361107538,0.4526455083684459,0
JPM,0.0122315660006033,0.0011909304366214,0.6572849253858986,1
KO,0.0080884431521135,0.0017916641527697,0.2481777043017005,2
MMM,0.0197144734568411,-0.0030929741661054,0.4260345851786244,0
MSFT,0.0134577556819117,0.0019908583321011,0.5999068196465352,1
PEP,0.0082014224651316,0.0014183188941827,0.304126756824192,2
PG,0.0100632836231189,0.0010991496973138,0.2211812728843319,2
SLB,0.0191780800682466,-0.0011228851755965,0.5507090472484534,3
WFC,0.0116852736751383,-0.0003061458576105,0.5283888850304717,1
WMT,0.0082248551072144,0.0022616547966376,0.5122279589953694,2
XOM,0.010988273888082,-0.0006541155242354,0.630383571139863,1
