,volatility,mean_return,avg_correlation,cluster
AAPL,0.0423487025636333,-0.0016840010445296,0.9276746745618084,1
BA,0.0778365243420886,-0.0101491968886747,0.7305392248837672,2
BAC,0.0535778540071352,-0.0067411802797825,0.9593169607398196,0
CAT,0.0391245259689793,-0.0032145568025729,0.8802985918211931,1
COP,0.0671342682928845,-0.0101549472718227,0.8235289292965956,2
CSCO,0.0414982421198238,-0.0023541464350528,0.8615351283785121,1
CVX,0.0606332209119382,-0.0064560934649176,0.8452989374014591,0
GE,0.0526198206044115,-0.0054256107054972,0.873670234868405,0
GS,0.0501543572208437,-0.0053808636329491,0.9461143283481196,0
INTC,0.0539560726389086,-0.0002346509785106,0.8227623338968849,1
JPM,0.0507086842979397,-0.0058676397691634,0.9493654962184596,0
KO,0.0326662456016456,-0.0028461566013415,0.8033697243021715,1
MMM,0.0358399559034155,-0.0036741038243669,0.7986395064647281,1
MSFT,0.0445312399904831,0.0009286248027958,0.9192726704774284,1
PEP,0.0411150072318444,-0.0010769199383193,0.8405595289311785,1
PG,0.0362134689791125,-0.0010647124479949,0.7777933092856871,1
SLB,0.0645410047778611,-0.0157477839999158,0.7924572454995152,2
WFC,0.0517503204143246,-0.0087982450118556,0.9380118555409588,0
WMT,0.0315942831901481,-5.858726528990554e-05,0.6100980437261803,3
XOM,0.0419697744244516,-0.0091054475832414,0.8973367757802887,0
