,volatility,mean_return,avg_correlation,cluster
AAPL,0.0230840202481005,0.0010743854881983,0.7282648044726293,3
BA,0.0234083565669858,-0.0020058920145803,0.8556944982089996,3
BAC,0.0265590871010891,-0.0038338151583233,0.8782192566015661,2
CAT,0.0267963513159479,-0.0009314918977837,0.8884705505423197,3
COP,0.0207143831908378,-0.0009899430516294,0.8783611845795328,3
CSCO,0.0191129401253437,-0.0032699708842773,0.8658670800776845,2
CVX,0.0174266358940929,-0.0019891346535353,0.8784548232150762,3
GE,0.0223777641411196,-0.0038820128921478,0.9337125427404628,2
GS,0.0284434329558541,-0.0041256710798618,0.4712386080850021,1
INTC,0.0210285025274444,-0.0020177957052486,0.8777993974673775,3
JPM,0.0236163944917033,-0.0034664687292031,0.8215349385274513,2
KO,0.0122787739217957,-0.00111656974138,0.6780632169104039,0
MMM,0.0150529008346672,-0.0008778994141605,0.8553459646294377,3
MSFT,0.0177890027122099,-0.0038001679918853,0.7707164599789287,2
PEP,0.011781319550849,-0.0012276686473427,0.6815372572926701,0
PG,0.0106651705895259,-0.0006639390063139,0.6516872277542026,0
SLB,0.0304887913117903,-0.002616719804099,0.7441361163092503,1
WFC,0.025272771809929,-0.0035189241965234,0.8992434302855935,2
WMT,0.0106885265762818,-0.0022486485578246,0.470196944935602,0
XOM,0.0150817198218223,-0.0026675677871356,0.850500283822163,2
